Argument ID	Conclusion	Stance	Premise
A19284	We should abolish the Olympic Games	against	the olympic games allow for a show of strength among a country's athletes in a sportsman like manner, allowing for global participation and unification.
A19285	We should end the use of economic sanctions	in favor of	economic sanctions cause a weight on country governments that have violated human rights, dangerous acts, et al and the only thing that governments can relate to are monetary hardships.
A19287	Surrogacy should be banned	against	surrogacy is the only way some couples can have a family so should not be banned.
A19289	We should end racial profiling	against	racial profiling can be a useful crime solving tool, when administered fairly.
A19298	We should subsidize stay-at-home dads	against	stay-at-home dads should not be subsidized because it removes the incentive to be the breadwinner
A19301	We should legalize polygamy	in favor of	polygamy is legal in many societies and religions. if it is not legal this discriminates against certain religions.
A19314	We should abolish intellectual property rights	against	we should not abolish intellectual property rights because it protects that person's claim to their inventions and discoveries.
A19328	We should ban cosmetic surgery	against	if people want to get work done it is their choice
A19332	We should limit executive compensation	in favor of	executives make enough and shouldn't be gaining any more when there are others who deserve bonuses
A19333	We should stop the development of autonomous cars	against	autonomous cars allow those with disabilities that hinder driving to be able to travel to appointments, shopping and social events, and not to live isolated from others.
A19335	We should prohibit women in combat	against	women can be as physically capable as men and because they think differently to men can bring a different perspective that could be invaluable in combat.
A19336	We should ban telemarketing	in favor of	telemarketing is a pock mark on society. it disrupts peoples lives, causes extreme aggravation and pushes unwanted products and services on the poor, elderly and those prone to being taken advantage of.
A19346	We should fight urbanization	against	urbanization goes hand in hand with mass transit, leading to more jobs and an easier way to get to those jobs, which benefits everybody.
A19350	We should abolish capital punishment	in favor of	killing people is wrong, no matter what crime they committed
A19367	We should adopt an austerity regime	against	an austerity regime will be a disaster.   people will lose jobs as programs are cut and this could lead to riots and unrest as it did in greece in 2011.
A19375	We should abolish the three-strikes laws	against	The three-strikes law is a deterrent against crime.
A19376	We should legalize prostitution	against	legalizing prostitution sends the message that prostitution is okay, but it is not. prostitution is just the tip of the iceberg of human trafficking and abuse. it should not be condoned.
A19378	The use of public defenders should be mandatory	in favor of	making the use of public defenders mandatory would level the playing field and enable justice fo all, as opposed to when the wealthy can spend millions to hire counsel to extricate themselves from crimes.
A19395	Surrogacy should be banned	in favor of	this is too dangerous for the  parents to be. often the surrogate mother changes her mind.
A19401	Foster care brings more harm than good	against	foster care families  provide loving homes for children who need support
A19410	We should prohibit school prayer	against	if parents want their kids to pray at school so be it
A19413	We should ban factory farming	against	it is the only way we currently have to feed the masses.
A19415	We should subsidize journalism	against	there is simply no need, there is enough money in journalism and plenty of valuable, objective sources available
A19416	We should ban fast food	against	fast food enables people who lead busy lives to be able to have meals on the go.  this way they do not miss meals.
A19419	We should prohibit women in combat	in favor of	we should prohibit women in combat, they are a distraction to male fighters who think they must protect the females
A19426	Social media brings more harm than good	in favor of	social media can help to  foster radicalism & extremism
A19427	We should end affirmative action	against	affirmative action is incredibly important to ensure visibility and equality are strived for, in a society where systemic racism, sexism and homophobia are ingrained in a systems of commerce.
A19429	We should fight for the abolition of nuclear weapons	in favor of	Nuclear weapon has lost it's deterrence after the cold war, and so it's not usefull anymore
A19444	We should ban the use of child actors	against	it is right and proper that talented children are able to earn money from acting
A19445	We should legalize organ trade	in favor of	a human being at death can help others to live and through organ trade help their families live
A19449	The use of public defenders should be mandatory	in favor of	using public defenders would be a fairer system ensuring that everyone has the same level of representation, not just those who can afford better.
A19455	We should subsidize Wikipedia	in favor of	subsidising wikipedia would give it the funds needed to continue this valuable informative tool without needing to beg for funds.
A19462	We should ban telemarketing	against	Banning telemarketing will create job losses for many people who work in this industry.
A19463	We should abolish the right to keep and bear arms	in favor of	we need to stop all the shootings that are happening and abolishing the right to keep and bear arms is a good start
A19464	We should adopt an austerity regime	against	we should not allow an austerity regime because it will completely destroy the country by causing worse economic demise.
A19467	We should ban human cloning	against	human cloning allows for the study of genetic disorders, opening the door for huge leaps in medical science and disease cures.
A19470	We should abolish zoos	in favor of	some zoos have terrible living conditions and the animals aren't stimulated at all
A19471	We should prohibit flag burning	in favor of	flag burning is an insult to all those that served the country.
A19472	We should ban whaling	in favor of	whaling is barbaric and cruel to whales and should therefore be banned
A19480	We should ban private military companies	in favor of	private military companies do not all follow the rules of the country
A19483	We should introduce compulsory voting	against	no one should be forced to do something they do not want to do
A19494	We should end the use of economic sanctions	against	economic sanctions must be retained as it is the only way in which dishonest countries can be made to mend their ways.
A20002	We should end the use of economic sanctions	in favor of	Economic sanctions are immoral and hurt the people they are supposed to be protecting.
A20006	We should abolish zoos	against	zoos are working to breed endangered species
A20009	We should adopt gender-neutral language	against	we should not adopt gender-neutral language because it is stupid to change the way people been speaking for hundreds of years
A20011	We should adopt an austerity regime	against	an austerity regime has never been shown to work because there is always someone who insists that his project must be funded
A20022	We should abandon the use of school uniform	against	school uniforms eliminated having to buy numerous outfits, trying to buy close that are in style, which can be expensive, uniforms can save money for other school related needs.
A20023	We should ban cosmetic surgery for minors	in favor of	we should ban cosmetic surgery for minors because is nocive for health
A20046	We should legalize prostitution	against	prostitution is a dangerous profession
A20053	We should limit executive compensation	in favor of	we should limit executive compensation because it only helps the rich
A20055	We should subsidize space exploration	against	we should be concentrating on and spending money on making our world a better place then out exploring other worlds and space needlessly.
A20057	We should abolish zoos	against	we shouldn't abolish zoos because they attract visitors and money to be able to put back into the zoo for animal feed and vet bills
A20092	We should fight urbanization	in favor of	we should fight urbanization because it leads to more harms than good. cities have increased pollution, drug use, and crime as opposed to rural areas. there is more homeless in cities as well.
A20095	We should abolish capital punishment	in favor of	Capital punishment often goes wrong and leaves people suffering but still alive.
A20104	We should legalize cannabis	in favor of	it has many helpful medicinal qualities such as helping cancer patients keep food down when going through chemotherapy
A20110	We should end mandatory retirement	in favor of	seniors want to feel needed and useful so as long as they are doing a good job they shouldn't be forced to retire
A20114	We should adopt libertarianism	against	we should not adopt libertarianism because total individuality would create chaos.
A20120	We should ban the Church of Scientology	against	scientology should not be banned as people have the right to worship in whatever religion they wish and in a way they wish to.
A20123	We should abolish the three-strikes laws	in favor of	there are times when it makes sense for people to get another chance
A20127	We should subsidize space exploration	against	in times of austerity, no government can afford the costly exercise of subsidising space exploration.
A20129	Social media brings more harm than good	in favor of	social media provides an easy and anonymous way for bullies to do their worst
A20133	We should close Guantanamo Bay detention camp	in favor of	human rights violations are never acceptable.
A20134	We should legalize cannabis	in favor of	cannabis should be legalized because no link has been found to document a connection between cannabis use and mind altering drugs.
A20142	We should ban algorithmic trading	in favor of	Algorithmic trading causes substantial job loss for employees in the economic sector with few benefits to the market overall.
A20146	Entrapment should be legalized	in favor of	if entrapment can be used to get criminals off the streets, why should it be banned?
A20149	The use of public defenders should be mandatory	against	the traditional right to choose your own defender to represent you has worked well for centuries and should never be changed.
A20151	We should abolish the Olympic Games	in favor of	the olympics are an expensive operation and the city selection process is corrupt.
A20156	We should ban cosmetic surgery for minors	in favor of	Cosmetic surgery as a minor makes it more likely that you will have to go in for follow up procedures as an adult to touch up or fix problems with this past surgery.
A20161	Foster care brings more harm than good	in favor of	moving from foster carer to carer provides an unstable life which damages esteem
A20162	We should adopt a zero-tolerance policy in schools	against	students are not yet adults, and circumstances are unique for each child.
A20163	Blockade of the Gaza Strip should be ended	against	the blockade should not be ended because the people of israel have every right to determine what goods, service, and people enter the territory.
A20165	We should subsidize journalism	in favor of	it could help support journalism and help people create compelling and quality articles and better coverage and less false or misleading headlines.
A20166	Payday loans should be banned	in favor of	loans only further encourage people to take on debt and buy things they can't afford
A20173	We should end mandatory retirement	in favor of	Mandatory retirement affirms problematic stereotypes about the competency of older people which prevents them from being taken seriously when they should be.
A20175	We should subsidize stay-at-home dads	in favor of	children grow up happier and healthier when raised by stay-at-home parents and dads can perform that role as effectively as moms
A20205	We should ban the Church of Scientology	against	religion should be a personal matter and the government should not dictate which faiths are allowed and which are not.
A20214	We should end racial profiling	in favor of	there is no valid argument in favor of racial profiling.
A20218	We should ban naturopathy	in favor of	naturopathy has not been scientifically proven to work and could stop people from taking medications that would keep them alive
A20221	We should abandon the use of school uniform	in favor of	School uniforms have no positive effect on academic achievement.
A20229	The use of public defenders should be mandatory	in favor of	public defenders are an important part of the judicial system are necessary for those who cannot afford their own attorney.
A20232	We should adopt a multi-party system	against	a multi-party system would be too confusing
A20242	Holocaust denial should be a criminal offence	against	why should anyone be told they cannot deny something even if it happened?  freedom of speech, surely.
A20245	We should close Guantanamo Bay detention camp	against	keeping terrorists locked up saves lives
A20257	We should end affirmative action	against	it help bring marginalized groups opportunities & level the playing field
A20258	We should fight urbanization	in favor of	urbanization causes more crime, more pollution, and destroys the environment.
A20274	We should ban factory farming	against	factory farming is the only way to meet the high demand for meat.
A20288	We should ban the Church of Scientology	in favor of	the church has engaged in harassment against detractors and former members and promotes dangerous ideas about mental health, homosexuality and child-rearing
A20291	We should ban telemarketing	in favor of	telemarketing because it upsets people to always have them calling and also they are usually rude
A20292	We should abolish intellectual property rights	against	we should keep intellectual property rights because if a person came up with an idea, they should receive credit for it no matter what the circumstances are, it is only fair.
A20302	We should ban naturopathy	against	naturopathy is natural and therefore healthy.
A20303	We should adopt libertarianism	in favor of	libertarianism maximizes personal freedom and frees people from the inherent debt and tyranny of big government.
A20304	We should ban human cloning	in favor of	human cloning will end up with individuals who only exist as a means to an end, which is deeply unethical.
A20309	We should prohibit flag burning	in favor of	our flag is sacred and should be revered
A20310	We should ban fast food	in favor of	fast food is leading to an obesity epidemic and a health crisis.
A20316	We should ban human cloning	in favor of	human cloning is not good for humanity, less for evolution
A20317	We should subsidize Wikipedia	against	wikipedia is a private entity and is responsible for their own costs
A20319	We should legalize prostitution	against	Prostitution promotes the repression of women by men. Legalizing prostitution condones such behavior.
A20321	We should legalize polygamy	against	polygamy is exploitative to women. it transforms women as trophy men will be collecting for just their pleasure
A20325	We should legalize cannabis	against	legalization of marijuana will create a huge industry that utilizes people for profit and targets children
A20329	We should legalize polygamy	in favor of	people rights to privacy should be protected by laws, ensuring that they will have the freedom to live life the way they wish to especially when it comes to marrying whom they love
A20333	We should subsidize Wikipedia	against	if wikipedia was subsidised they may start to put in whatever information the person supplying the subsidy wants rather than only the truth and this would be harmful.
A20334	Social media brings more harm than good	in favor of	social media allows children to gang up on other children and can lead to mental problems.
A20335	We should abolish the right to keep and bear arms	in favor of	we should abolish the right to keep and bear arms because innocent people get killed
A20337	We should ban algorithmic trading	in favor of	algorithmic trading removes the human element of common sense from trading patterns, which has caused many wild mini-crashes and market fluctuations.
A20361	We should ban fast food	in favor of	we should ban fast food as it is very unhealthy and is creating a lazy culture in which people do not cook or eat fresh food.
A20371	We should end affirmative action	against	affirmative action helps combat racism.
A20372	We should ban cosmetic surgery for minors	in favor of	we should ban cosmetic surgery for minors because society is making an unrealistic view on children and expecting them to grow up too quickly.
A20381	We should close Guantanamo Bay detention camp	against	the site represents an option to isolate dangerous criminals from outside the us
A20384	Blockade of the Gaza Strip should be ended	in favor of	Ending the blockade of the Gaza Strip would be the beginning of peace in the region.
A20385	We should prohibit women in combat	against	women can be in combat because they can do just as well as men.
A20389	We should abandon marriage	in favor of	marriage costs people thousands, only for them to divorce again later in most cases nowadays. if marriage was abandoned people would save a fortune.
A20398	We should subsidize embryonic stem cell research	in favor of	stem cell research may be the key to curing many diseases
A20400	We should legalize cannabis	in favor of	adults should be able to choose substances that they want to use.
A20401	We should ban human cloning	against	human cloning is vital for medical science as it might be able to identify treatments and cures for diseases
A20407	We should adopt a multi-party system	in favor of	in a multi party system the general population have more of a choice in who their leaders are
A20408	We should abolish safe spaces	in favor of	we should abolish safe spaces because they take up too much room that could be used for more pressing matters.
A20412	We should cancel pride parades	against	it sends a valuable message to the lgbt community that they are free and able to celebrate their lives
A20413	Blockade of the Gaza Strip should be ended	against	blockade of the gaza strip should not be ended we need to protect israel at all cost, it is important.
A20414	Intelligence tests bring more harm than good	against	I.Q. tests provide genuine insight into an individual's capabilities
A20417	We should abandon the use of school uniform	in favor of	some students can not afford school uniforms and or may not be comfortable in them, which is distracting.
A20424	Surrogacy should be banned	against	surrogacy is a way to bring the happiness of parenthood to a couple who would otherwise not have been able to enjoy it
A20430	We should ban the Church of Scientology	in favor of	we should ban them because it is a cult that expects members to pay lots of money to join, and if anyone tries to leave they make their life hell.
A20434	We should subsidize embryonic stem cell research	in favor of	embryonic stem cell research will help save lives and is very important.
A20437	We should legalize polygamy	against	polygamy leads to jealousies within relationships and is outdated and while it may have had a purpose in certain cultures in past times, there is noo need in the modern era
A20438	We should ban the use of child actors	against	many great actors of today started as children and had no problem in their growth
A20471	We should end mandatory retirement	in favor of	Corporations should decide for themselves whether to keep a worker because they are the ones directly impacted, mandatory retirement encroached on corporate rights.
A20472	We should subsidize space exploration	against	it costs too much money to explor space, it could be used elsewhere to benefit humans
A20485	We should abolish the three-strikes laws	against	with this law, the victim is given more security and we make sure that the perpetrator does not relapse in other crimes.
A20493	We should abandon marriage	in favor of	far too many marriages dissolve before the death of either individual; we might as well get rid of marriages entirely.
A20496	We should prohibit women in combat	in favor of	women are biologically weaker than men on average. they should not be in combat but rather utilized in other fields where they could be more helpful, like medics.
A20499	We should abolish the right to keep and bear arms	in favor of	we should abolish the right to keep and bear arms since it leads to more violence and higher crime rights.
A21008	The vow of celibacy should be abandoned	against	the vow of celibacy is necessary for those embracing a religious career, it helps them focusing on spiritual matters rather than physical needs
A21016	Payday loans should be banned	in favor of	it is not fair for families especially poor ones to pay fees in the form of interest over the money that they have already earned.
A21018	We should prohibit flag burning	in favor of	flag burning is the most insulting way of attacking a countries values and opinions and shows a lack of respect beyond acceptance
A21027	We should cancel pride parades	against	pride parades are a safe place for like minded people to gather and support each other.
A21028	We should ban fast food	in favor of	we should ban fast food because it is essentially just making obesity the most convenient lifestyle
A21029	We should abandon marriage	in favor of	a piece of paper does not keep people together
A21033	We should legalize organ trade	against	legalizing organ trade could lead to some horrific situations such as organs being taken from unwilling donors.
A21036	We should ban whaling	against	whaling is a major life blood for some communities.
A21038	We should fight for the abolition of nuclear weapons	in favor of	we need to do away with what there is so there are no accidents
A21041	Assisted suicide should be a criminal offence	in favor of	assisted suicide ought to be a criminal offence because killing someone isn't right no matter what situation
A21045	We should ban the use of child actors	against	if they want to be an actor it is their choice
A21062	We should prohibit flag burning	in favor of	too much has been lost to protect the flag.  we cannot allow it to be burned.
A21070	We should ban human cloning	against	human cloning should not be banned as it the next step in medicine and will allow for transplantation to be simpler and easier to perform
A21072	We should end the use of economic sanctions	against	economic sanctions can put pressure on the regime in power.  it reduces their ability to buy weapons of oppression and the ability to keep their economy healthy.  it can be effective in the right circumstances.
A21077	We should ban private military companies	in favor of	private military companies are in it for the financial gain and does not adhere to the morals of civilian casualties.
A21078	We should close Guantanamo Bay detention camp	against	there is no viable alternative, we need the function of a detention camp not on us soil to detain national security threats
A21083	We should end racial profiling	in favor of	racial profiling doesn't work. especially with terrorism. terrorists are coming from all races now, especially the new home grown terrorists. this just increases racism and distrust in authority.
A21086	We should ban algorithmic trading	against	algorithmic trading is an easy way to keep money moving and to make a profit so there is no reason to ban it.
A21090	We should adopt an austerity regime	in favor of	there are too many people on planet earth and austerity is the only way our planet will survive. we do not have enough resources for our population to be gluttonous.
A21092	We should abolish the Olympic Games	in favor of	the olympic games cost vast sums of money to the host country that would be better spent on essential services such as healthcare and education
A21093	We should introduce compulsory voting	in favor of	compulsory voting would increase voter turnout
A21103	We should cancel pride parades	against	Pride parades allow communities to be open and free about their lifestyles in a way that everyone else can all the time, they are fun, community events that go beyond the LGBTQ communities.
A21108	We should ban the Church of Scientology	against	freedom of religion is one of the most basic human rights that exist.  just because someone else might not believe in scientology doesn't give them the right to say someone else can't believe.
A21128	Surrogacy should be banned	in favor of	surrogacy turns women and children into commodities and should be banned.
A21134	We should cancel pride parades	against	pride parades are a fantastic way for individuals to celebrate their identities which history has long put down as being not normal or labeled as a disorder.
A21149	We should adopt libertarianism	in favor of	libertarianism gives us real freedom and keeps the government out of our lives
A21157	We should subsidize embryonic stem cell research	in favor of	embyronic stem cell research uses cells that would otherwise just be destroyed.
A21158	We should ban naturopathy	against	all persons should have the final say over their own lives and bodies. bodily autonomy should be up held above all. as long as properly informed about naturopathy, it should be a personal choice.
A21164	We should ban private military companies	against	private military companies are often run by former military men and women and provide a service that allows the military to concentrate on military operations.
A21181	Surrogacy should be banned	in favor of	surrogacy should be banned because it can lead to explotation of women by criminal gangs to make money out of them.
A21189	Blockade of the Gaza Strip should be ended	in favor of	The blockade unduly harms Palestinian women and children and is part of an illegal occupation.
A21200	We should subsidize stay-at-home dads	against	who can afford to pay both for mom and dad parental leave? companies will go broke.
A21203	Assisted suicide should be a criminal offence	against	assisted suicide should not be a criminal defense because in some cases, like people who have terminal cancer, you are doing them a mercy and saving them from suffering.
A21207	We should abandon the use of school uniform	against	the uniformity of clothing creates a sense of belonging and a collective identity which encourages camaraderie between students and this allows for greater focus on studies
A21233	We should adopt a multi-party system	in favor of	multi-party systems bring diversity to politics, and giving more voices to the population
A21235	We should ban private military companies	in favor of	we should ban private military companies because it relies too much on government funding
A21236	Payday loans should be banned	against	the payday loan should not be prohibited because each individual is free to negotiate with another individual. free market law. the state should not interfere.
A21241	We should abolish intellectual property rights	in favor of	intellectual property rights limit the information people can use
A21247	Holocaust denial should be a criminal offence	in favor of	holocaust denial  is offensive to jewish people.
A21254	We should abolish capital punishment	in favor of	we should abolish capital punishment because sometimes people are wrongfully accused and once dead cannot bring them back so life in prison is better
A21260	We should ban cosmetic surgery	in favor of	cosmetic surgery is ruining the confidence of young girls and making them feel like their not good enough without such surgeries.
A21276	Intelligence tests bring more harm than good	in favor of	intelligence tests bring more harm than good since not all intelligence can be tested, for instance, one could be gifted socially and this cannot be tested.
A21277	We should introduce compulsory voting	in favor of	the more people participate in the voting process, the better it is for democracy and society as a whole.
A21283	We should ban fast food	in favor of	eating fast food one time per week increased the risk of death by coronary heart disease by 20 percent
A21286	We should legalize cannabis	in favor of	scientific studies have shown that cannabis is safe as a recreational drug
A21291	We should ban cosmetic surgery for minors	against	children have a right to bodily autonomy just like adults, and banning cosmetic surgery is a violation of this freedom of expression.
A21303	Entrapment should be legalized	in favor of	luring a criminal in a well controlled way is the best method of capturing them
A21306	We should subsidize embryonic stem cell research	in favor of	if we subsidize embryonic stem cell research, we can likely find cures for many conditions and diseases.
A21311	We should adopt libertarianism	in favor of	We should adopt libertarianism as a principle for all governments which will ensure that all minorities are included and everyone's rights are protected.
A21313	We should close Guantanamo Bay detention camp	in favor of	Guantanamo uses torture, which is against international law.
A21319	We should legalize organ trade	against	Selling organs puts the seller in incredible risk of further injury and decreases their quality of life.
A21354	We should end affirmative action	in favor of	students should be able to gain entrance by merit and not skin tone
A21361	We should prohibit women in combat	against	Women are just as capable as men are in every department and there is absolutely no reason they should be banned from  joining the military if they so wish.
A21363	We should ban factory farming	against	factory farming allows for increased food production for the increasing human population.
A21373	We should ban cosmetic surgery	in favor of	some cosmetic surgery can cause infections and produce results that can disfigure a person forever.
A21374	We should adopt a zero-tolerance policy in schools	against	zero-tolerance results in an overly disciplinarian approach, and is unable to distinguish between all the subtle gradations of rule-breaking.
A21382	We should abandon marriage	against	marriage is something given from god and abandon it will be disaster for humanity and the chaos door will be wide open.
A21389	We should ban naturopathy	against	Individuals have the right to make decisions that might be the less efficient or harmful for themselves, which means the state can't ban naturopathy.
A21390	We should prohibit school prayer	against	our schools need to nurture and protect all aspects of our children, including prayer and religion, and children should never be prohibited from praying in school.
A21409	We should prohibit flag burning	against	we should not prohibit flag burning because freedom of speech is one of the defining rights of the american citizens.
A21418	We should cancel pride parades	against	people have a right to feel and display pride in what they are.
A21421	We should end the use of economic sanctions	in favor of	economic sanctions are outdated and does not cause any repercussions.
A21425	We should prohibit school prayer	in favor of	a formal school prayer can not properly be considered as the free exercise of religion, the prohibition of school prayer is wholly compatible with the free exercise of religion
A21430	Surrogacy should be banned	in favor of	pregnancy places a huge strain on the body and surrogacy encourages poorer women to do this for money.
A21432	Surrogacy should be banned	against	when a couple are not blessed with the ability to have their own children surrogacy provides this joy therefore it should not be banned.
A21433	We should abolish safe spaces	against	we should not abolish safe spaces because it helps to preserve spots for future generations.
A21445	We should end mandatory retirement	against	by forcing someone to retire it then means that spot is open for a younger person to fill the role, someone who could really use the money
A21447	We should ban cosmetic surgery	in favor of	plastic surgery carries risk and when it goes wrong, the nhs have to pay to repair the damage if the patient is suffering or at risk of serious illness.
A21452	We should legalize polygamy	against	polygamy is an abusive and sexist practice that should not be endorsed by the government.
A21455	We should cancel pride parades	against	everyone should have a chance to celebrate their culture, gay culture included.
A21471	The use of public defenders should be mandatory	in favor of	public defenders level the playing field in court
A21487	We should ban human cloning	in favor of	we should ban human cloning because cloning takes away from the unique individuality of a person.
A21488	We should ban naturopathy	in favor of	we should ban naturopathy because it is not proven to work
A21489	Holocaust denial should be a criminal offence	in favor of	Holocaust denial should be a criminal offence so that it is possible for liberal democratic societies to crack down on fascism early, rather than let it grow like a weed.
A21496	We should adopt libertarianism	in favor of	We should adopt libertarianism because taxation is theft, since it forces people to work for free.
A22001	We should abolish zoos	in favor of	zoos constrict wild animals to enclosures not suitable for them purely for enjoyment
A22006	Social media brings more harm than good	in favor of	it has beeen widely proven that social media deteriorates mental health for users, with even the social media companies admitting this.
A22007	The vow of celibacy should be abandoned	against	the vow of celibacy removes sexual activity with a view to focusing on a larger purpose - it can be seen as training the mind, and allows otherwise unforeseen advances of thought and discourse.
A22008	We should abolish capital punishment	against	i think capital punishment is useful for some people because it turns them into better people
A22010	We should ban naturopathy	against	people should have the right to choose naturopathy if they wish, without state interference.
A22018	We should prohibit flag burning	against	its a form of free speech which we do not prohibit in the usa.
A22020	Foster care brings more harm than good	in favor of	Children placed in Foster Care do more poorly than children who are left in high-risk homes
A22024	We should abandon marriage	in favor of	Marriage restricts freedom. A person can't do as he or she pleases without considering the needs and wishes of his/her spouse.
A22052	We should abolish the right to keep and bear arms	in favor of	if the right to keep and bear arms was abolished, it would decrease the number of weapons that are available and lessen violent crime.
A22055	We should abolish the Olympic Games	against	the olympic games create a tourism boom for the host city which injects a lot of cash which can be used to better locals so it shouldn't be abolished.
A22057	We should ban the Church of Scientology	against	freedom of religion is freedom of religion.  there is no picking and choosing based on how others feel about it.  let the people do as they please, even if it's church of scientology.
A22059	We should abandon the use of school uniform	in favor of	the school uniform gives no individuality to students
A22075	We should ban algorithmic trading	in favor of	financial trading is already a destructive and unethical sector of the economy and allowing algorithmic trading does not make it any less so.
A22076	We should legalize organ trade	against	people selling organs will wait for the highest bidder meaning only rich people will be able to afford the organs they desperately need.
A22079	Intelligence tests bring more harm than good	in favor of	intelligence test are not fully accurate.
A22086	Assisted suicide should be a criminal offence	in favor of	assisted suicide blurs too many lines with murder - even if the patient &quot;consents&quot;
A22090	Surrogacy should be banned	in favor of	surrogacy is a unnatural way of reproducing and should be banned.
A22091	We should fight urbanization	against	helping people in having a houses and flats is obligatory for all of us with support from our government.
A22103	We should subsidize stay-at-home dads	against	traditional family dynamics need the mother to be at home caring for her baby - this is the natural biological set-up, and it has been proven that a child suffers from female absense at a very early age.
A22115	We should ban whaling	in favor of	the whales are the ambassadors of the sea and an icon of the struggle to protect the planet. they must prohibit whaling
A22131	Holocaust denial should be a criminal offence	against	people should be able to believe what they want.
A22147	We should end the use of economic sanctions	in favor of	the use of economic sanctions should be ended because it is important to keep a good relationship with the countries we trade with.
A22149	We should introduce compulsory voting	against	people have a right to vote and they also have a right not to vote if they don't like any of the candidates
A22153	We should abolish the three-strikes laws	in favor of	we should abolish the three strikes law. it doesn't deter crime and it is expensive to implement because it means more people will be prison for life. taxpayers don't deserve to pay for that.
A22155	We should ban cosmetic surgery	against	everyone should have a right to be happy.
A22172	We should close Guantanamo Bay detention camp	in favor of	Guantanamo is synonymous with abuse and injustice and that's not going to serve the USA well in the long run.
A22175	Payday loans should be banned	against	nobody is forced to take out a payday loan; their existence affords the general population a choice of ways to borrow money.
A22179	We should fight for the abolition of nuclear weapons	against	they are a valuable deterrant to having another world war.
A22186	We should abandon marriage	in favor of	weddings  became orchestrated and scheduled events and  do not actually reflect what they are supposed to
A22188	We should abolish zoos	in favor of	Zoos keep animals in captivity and deny them the right to their natural environment therefore they should be abolished.
A22193	We should ban factory farming	in favor of	factory farming treats live animals as a disposable item
A22194	We should legalize polygamy	in favor of	as long as all parties are agree, there should not be any problem
A22197	We should adopt a zero-tolerance policy in schools	against	there are always exceptions to everything so zero-tolerance policies are not good because it doesn't allow for any exceptions.
A22198	We should ban whaling	in favor of	we should ban whaling because it is leading to the extinction of whales
A22204	We should abolish the Olympic Games	in favor of	the olympic games pits countries against each other and can increase levels of discrimination when athletes compete, so therefore it should be banned.
A22211	We should fight urbanization	in favor of	urbanization has no regards to environmental protection and causes severe pollution
A22216	We should adopt libertarianism	against	libertarianism puts too much focus on the individual and can lead to selfishness and not enough focus on society as a whole.
A22217	We should legalize prostitution	against	we shouldn't legalize prostitution because it may cause higher percentage of drug rates and crimes along with prostitution rates
A22218	We should end mandatory retirement	against	mandatory retirement helps keep the number of workplace incidents down.
A22220	We should adopt an austerity regime	against	austerity in fiscal policy usually results in spending cuts to those areas of society who need it most.
A22221	We should prohibit flag burning	in favor of	we should prohibit flag burning as it is an archaic form of protest and inflames community tensions.
A22222	Social media brings more harm than good	in favor of	people spend so much time on social media that they neglect real life obligations and relationships.
A22225	We should ban human cloning	in favor of	human cloning is far from being perfected and can lead to major unethical behavior by geneticists that can result in grave mistakes and horrific experiments.
A22226	We should abolish capital punishment	against	if you kill or rape someone you deserve to die.
A22233	We should legalize prostitution	against	legalising prostitution could lead to more people becoming involved in organised crime.
A22235	We should abolish the three-strikes laws	against	three-strike laws give a clear message to offenders who may be in danger of re-offending, that doing so would be met with more severity than their first offense. that way it works as a clear deterent.
A22238	We should adopt an austerity regime	in favor of	an austerity regime will help the european economy get out of a recession.
A22248	We should ban human cloning	against	cloning would have strict regulations on how to handle clones and ethical dilemmas. scientific advancements made while working towards cloning can advance the human race.
A22254	We should fight for the abolition of nuclear weapons	in favor of	the world can not be at the mercy of a few countries with such power to destroy
A22255	We should ban the Church of Scientology	against	people should be free to worship and pray in any way that they choose, it is a fundamental right.
A22260	We should end mandatory retirement	in favor of	Many people that are forced into retirement often do not have the means of supporting themselves financially, and so either turn to part time, low-wage work or welfare to sustain themselves.
A22262	The vow of celibacy should be abandoned	in favor of	the vow of celibacy is outdated and may contribute to the perverse sex crimes priests have been accused of.
A22267	Intelligence tests bring more harm than good	in favor of	intelligence tests bring more harm than good because people can get competitive over them which can lead to isolation.
A22268	We should legalize cannabis	in favor of	we should legalize cannabis because it is harmless.
A22272	We should prohibit women in combat	against	women in are just as capable as men combat
A22274	We should subsidize space exploration	in favor of	space exploration is a good adventure. our planet is in a future risk of extinct and we should best prepare our refuge in space exploration
A22277	We should end the use of economic sanctions	against	economic sanctions are a way to implement sanctions on a country without the risks of military intervention.
A22278	We should cancel pride parades	in favor of	pride parades can get dangerous and out of control
A22282	We should adopt gender-neutral language	in favor of	by adopting gender neutral language we can advance the cause of equality.
A22286	We should limit executive compensation	against	without executive compensation talent will be lost to other countries
A22293	We should legalize polygamy	against	marriage should be between one man and one woman.
A22304	We should close Guantanamo Bay detention camp	in favor of	not enough scrutiny of guantanamo bay is made available leading to possible abuses of power within the camp.
A22306	We should ban fast food	in favor of	fast food causes obesity and health problems and sets children up with poor eating habits for life.
A22309	We should adopt libertarianism	against	allowing unfettered libertarianism will result in more crime and more income disparity
A22312	We should stop the development of autonomous cars	against	autonomous cars are simply the next logical step in transportation.  years ago people would have said all cars are dangerous and we should all stick to horse and buggy instead.
A22314	We should adopt a multi-party system	against	consensus can become difficult in multi party systems
A22324	We should end racial profiling	in favor of	racial profiling should be ended because it violates a person's individual right
